,Country,Sector,Company Size,Seniority,Rank
0,USA,IT,"10,001+ employees",Entry,2.0
1,USA,IT,"10,001+ employees",Senior,1.0
2,USA,IT,"10,001+ employees",Manager,4.0
3,USA,IT,"10,001+ employees",Director,3.0
4,USA,IT,"5001-10,000 employees",Entry,2.0
5,USA,IT,"5001-10,000 employees",Senior,1.0
6,USA,IT,"5001-10,000 employees",Manager,4.0
7,USA,IT,"5001-10,000 employees",Director,3.0
8,USA,IT,1001-5000 employees,Entry,1.0
9,USA,IT,1001-5000 employees,Senior,2.0
10,USA,IT,1001-5000 employees,Manager,4.0
11,USA,IT,1001-5000 employees,Director,3.0
12,USA,IT,501-1000 employees,Entry,1.0
13,USA,IT,501-1000 employees,Senior,2.0
14,USA,IT,501-1000 employees,Manager,4.0
15,USA,IT,501-1000 employees,Director,3.0
16,USA,IT,201-500 employees,Entry,1.0
17,USA,IT,201-500 employees,Senior,2.0
18,USA,IT,201-500 employees,Manager,4.0
19,USA,IT,201-500 employees,Director,3.0
20,USA,IT,51-200 employees,Entry,1.0
21,USA,IT,51-200 employees,Senior,2.0
22,USA,IT,51-200 employees,Manager,4.0
23,USA,IT,51-200 employees,Director,3.0
24,USA,IT,11-50 employees,Entry,1.0
25,USA,IT,11-50 employees,Senior,2.0
26,USA,IT,11-50 employees,Manager,4.0
27,USA,IT,11-50 employees,Director,3.0
28,USA,IT,2-10 employees,Entry,1.0
29,USA,IT,2-10 employees,Senior,2.0
30,USA,IT,2-10 employees,Manager,3.0
31,USA,IT,2-10 employees,Director,4.0
32,USA,IT,Myself Only,Entry,1.0
33,USA,IT,Myself Only,Senior,2.0
34,USA,IT,Myself Only,Manager,3.0
35,USA,IT,Myself Only,Director,4.0
36,USA,Finance,"10,001+ employees",Entry,1.0
37,USA,Finance,"10,001+ employees",Senior,2.0
38,USA,Finance,"10,001+ employees",Manager,3.0
39,USA,Finance,"10,001+ employees",Director,4.0
40,USA,Finance,"5001-10,000 employees",Entry,1.0
41,USA,Finance,"5001-10,000 employees",Senior,2.0
42,USA,Finance,"5001-10,000 employees",Manager,3.0
43,USA,Finance,"5001-10,000 employees",Director,4.0
44,USA,Finance,1001-5000 employees,Entry,1.0
45,USA,Finance,1001-5000 employees,Senior,2.0
46,USA,Finance,1001-5000 employees,Manager,3.0
47,USA,Finance,1001-5000 employees,Director,4.0
48,USA,Finance,501-1000 employees,Entry,1.0
49,USA,Finance,501-1000 employees,Senior,2.0
50,USA,Finance,501-1000 employees,Manager,3.0
51,USA,Finance,501-1000 employees,Director,4.0
52,USA,Finance,201-500 employees,Entry,1.0
53,USA,Finance,201-500 employees,Senior,2.0
54,USA,Finance,201-500 employees,Manager,3.0
55,USA,Finance,201-500 employees,Director,4.0
56,USA,Finance,51-200 employees,Entry,1.0
57,USA,Finance,51-200 employees,Senior,2.0
58,USA,Finance,51-200 employees,Manager,3.0
59,USA,Finance,51-200 employees,Director,4.0
60,USA,Finance,11-50 employees,Entry,1.0
61,USA,Finance,11-50 employees,Senior,2.0
62,USA,Finance,11-50 employees,Manager,3.0
63,USA,Finance,11-50 employees,Director,4.0
64,USA,Finance,2-10 employees,Entry,1.0
65,USA,Finance,2-10 employees,Senior,2.0
66,USA,Finance,2-10 employees,Manager,3.0
67,USA,Finance,2-10 employees,Director,4.0
68,GBR,IT,"10,001+ employees",Entry,3.0
69,GBR,IT,"10,001+ employees",Senior,1.0
70,GBR,IT,"10,001+ employees",Manager,4.0
71,GBR,IT,"10,001+ employees",Director,2.0
72,GBR,IT,"5001-10,000 employees",Entry,1.0
73,GBR,IT,"5001-10,000 employees",Senior,2.0
74,GBR,IT,"5001-10,000 employees",Manager,4.0
75,GBR,IT,"5001-10,000 employees",Director,3.0
76,GBR,IT,1001-5000 employees,Entry,3.0
77,GBR,IT,1001-5000 employees,Senior,1.0
78,GBR,IT,1001-5000 employees,Manager,4.0
79,GBR,IT,1001-5000 employees,Director,2.0
80,GBR,IT,501-1000 employees,Entry,2.0
81,GBR,IT,501-1000 employees,Senior,1.0
82,GBR,IT,501-1000 employees,Manager,4.0
83,GBR,IT,501-1000 employees,Director,3.0
84,GBR,IT,201-500 employees,Entry,2.0
85,GBR,IT,201-500 employees,Senior,3.0
86,GBR,IT,201-500 employees,Manager,4.0
87,GBR,IT,201-500 employees,Director,1.0
88,GBR,IT,51-200 employees,Entry,2.0
89,GBR,IT,51-200 employees,Senior,1.0
90,GBR,IT,51-200 employees,Manager,4.0
91,GBR,IT,51-200 employees,Director,3.0
92,GBR,IT,11-50 employees,Entry,1.0
93,GBR,IT,11-50 employees,Senior,2.0
94,GBR,IT,11-50 employees,Manager,3.0
95,GBR,IT,11-50 employees,Director,4.0
96,GBR,IT,2-10 employees,Entry,1.0
97,GBR,IT,2-10 employees,Senior,2.0
98,GBR,IT,2-10 employees,Manager,4.0
99,GBR,IT,2-10 employees,Director,3.0
100,GBR,Finance,"10,001+ employees",Entry,1.0
101,GBR,Finance,"10,001+ employees",Senior,2.0
102,GBR,Finance,"10,001+ employees",Manager,3.0
