,Country,Sector,Company Size,Seniority,Rank
0,USA,IT,Any Company Size,Unpaid,1.0
1,USA,IT,Any Company Size,Training,11.0
2,USA,IT,Any Company Size,Entry,2.0
3,USA,IT,Any Company Size,Senior,3.0
4,USA,IT,Any Company Size,Manager,9.0
5,USA,IT,Any Company Size,Director,7.0
6,USA,IT,Any Company Size,VP,8.0
7,USA,IT,Any Company Size,CXO,6.0
8,USA,IT,Any Company Size,Partner,10.0
9,USA,IT,"10,001+ employees",Unpaid,1.0
10,USA,IT,"10,001+ employees",Training,9.0
11,USA,IT,"10,001+ employees",Entry,4.0
12,USA,IT,"10,001+ employees",Senior,2.0
13,USA,IT,"10,001+ employees",Manager,11.0
14,USA,IT,"10,001+ employees",Director,8.0
15,USA,IT,"10,001+ employees",VP,6.0
16,USA,IT,"10,001+ employees",CXO,7.0
17,USA,IT,"10,001+ employees",Partner,10.0
18,USA,IT,"5001-10,000 employees",Training,10.0
19,USA,IT,"5001-10,000 employees",Entry,2.0
20,USA,IT,"5001-10,000 employees",Senior,1.0
21,USA,IT,"5001-10,000 employees",Manager,8.0
22,USA,IT,"5001-10,000 employees",Director,5.0
23,USA,IT,"5001-10,000 employees",VP,7.0
24,USA,IT,"5001-10,000 employees",CXO,6.0
25,USA,IT,"5001-10,000 employees",Partner,9.0
26,USA,IT,"5001-10,000 employees",Owner,3.0
27,USA,IT,1001-5000 employees,Unpaid,11.0
28,USA,IT,1001-5000 employees,Training,10.0
29,USA,IT,1001-5000 employees,Entry,2.0
30,USA,IT,1001-5000 employees,Senior,4.0
31,USA,IT,1001-5000 employees,Manager,9.0
32,USA,IT,1001-5000 employees,Director,7.0
33,USA,IT,1001-5000 employees,VP,6.0
34,USA,IT,1001-5000 employees,CXO,5.0
35,USA,IT,1001-5000 employees,Partner,8.0
36,USA,IT,501-1000 employees,Training,10.0
37,USA,IT,501-1000 employees,Entry,2.0
38,USA,IT,501-1000 employees,Senior,4.0
39,USA,IT,501-1000 employees,Manager,9.0
40,USA,IT,501-1000 employees,Director,5.0
41,USA,IT,501-1000 employees,VP,7.0
42,USA,IT,501-1000 employees,CXO,8.0
43,USA,IT,501-1000 employees,Partner,6.0
44,USA,IT,501-1000 employees,Owner,1.0
45,USA,IT,201-500 employees,Training,7.0
46,USA,IT,201-500 employees,Entry,1.0
47,USA,IT,201-500 employees,Senior,4.0
48,USA,IT,201-500 employees,Manager,9.0
